Formula,Group
NH3+,Protein
NH4+,Protein
C2H3+,Protein
CH2N+,Protein
C2H4+,Protein
CH3N+,Protein
C2H5+,Protein
CH4N+,Protein
CH5N+,Protein
C3H5+,Protein
C2H4N+,Protein
CH3N2+,Protein
C2H5N+,Protein
CH2NO+,Protein
CH4N2+,Protein
C2H6N+,Protein
C4H2+,Protein
C4H3+,Protein
C4H5+,Protein
C3H4N+,Protein
C3H3O+,Protein
C3H6N+,Protein
C3H8N+,Protein
C3H7O+,Protein
CH6N3+,Protein
C2H5S+,Protein
C5H5+,Protein
C4H6N+,Protein
C4H5O+,Protein
C5H9+,Protein
C3H4NO+,Protein
C4H8N+,Protein
C4H10N+,Protein
C2H7N3+,Protein
C3H8NO+,Protein
C5H6N+,Protein
C4H7N2+,Protein
C4H6NO+,Protein
C5H10N+,Protein
C5H12N+,Protein
C4H10N3+,Protein
C4H8NO2+,Protein
C7H7O+,Protein
C5H8N3+,Protein
C8H10N+,Protein
C9H8N+,Protein
C8H10NO+,Protein
O+,Glycan
OH+,Glycan
H3O+,Glycan
CHO+,Glycan
CH2O+,Glycan
CH3O+,Glycan
C2H2O+,Glycan
C3H5O+,Glycan
C2H5O2+,Glycan
C3H3O2+,Glycan
C3H5O2+,Glycan
CHO2Na2+,Glycan
C4H2O2Na+,Glycan
NH-,Protein
NH2-,Protein
CN-,Protein
C2N-,Protein
CH2N-,Protein
C2HN-,Protein
C2H2N-,Protein
CHN2-,Protein
CNO-,Protein
CH2NO-,Protein
CH3S-,Protein
C3N-,Protein
C3H2N-,Protein
C3H4N-,Protein
C2H2NO-,Protein
C2H4NO-,Protein
C4N-,Protein
C4H2N-,Protein
C3NO-,Protein
C4H4N-,Protein
C3H3N2-,Protein
C3H2NO-,Protein
C3H4NO-,Protein
C3NO2-,Protein
C4H4NO-,Protein
C3H4NO2-,Protein
C4H6NO2-,Protein
CHO-,Glycan
CH3O-,Glycan
C2HO-,Glycan
C2H3O-,Glycan
C2O-,Glycan
CHO2-,Glycan
C3HO-,Glycan
C3H3O-,Glycan
C2HO2-,Glycan
C2H2O2-,Glycan
C2H3O2-,Glycan
C2H4O2-,Glycan
C3HO2-,Glycan
C3H2O2-,Glycan
C3H3O2-,Glycan
C2HO3-,Glycan
C3H5O2-,Glycan
C4H2O2-,Glycan
C4H3O2-,Glycan
C4H5O2-,Glycan
C3H3O3-,Glycan
C4H3O3-,Glycan
C4H5O3-,Glycan
H+,Other
C+,Other
CH+,Other
N+,Other
CH2+,Other
NH+,Other
CH3+,Other
NH2+,Other
C2H2+,Other
CHN+,Other
P+,Other
CH3Na+,Other
C3H2+,Other
C2H2O+,Other
C2H3O+,Other
C3H7+,Other
CHS+,Other
C2H5O+,Other
PO+,Other
C3HO+,Other
C4H7+,Other
Fe+,Other
C3H5O+,Other
C4H9+,Other
C2H3S+,Other
C3H8O+,Other
Cu+,Other
CH2N2O2+,Other
C6H3+,Other
C6H5+,Other
C6H6+,Other
C3H7N2O+,Other
C3H6NO2+,Other
C7H7+,Other
C4H4NO2+,Other
C4H7N2O2+,Other
Na+,Background
Mg+,Background
Al+,Background
Si+,Background
K+,Background
Ca+,Background
NaCl+,Background
KNa+,Background
Na2O+,Background
Na2OH+,Background
NaO3H+,Background
KNaOH+,Background
Na2Cl+,Background
K2NaSO4+,Background
Au+,Background
Au3+,Background
H-,Other
C-,Other
CH-,Other
CH2-,Other
CH3-,Other
O-,Other
OH-,Other
H3O-,Other
C2-,Other
C2H-,Other
C2H3-,Other
NO-,Other
CH4N-,Other
P-,Other
C3-,Other
C3H-,Other
C2N-,Other
C3H2-,Other
C3H3-,Other
CN2-,Other
CP-,Other
CHS-,Other
PO-,Other
POH-,Other
C4-,Other
C4H-,Other
H3O3-,Other
C4H3-,Other
C3O-,Other
C4H5-,Other
C3H2O-,Other
C4H8-,Other
C3H5O-,Other
C5-,Other
C5H-,Other
PO2-,Other
C3N2-,Other
C4HO-,Other
C3HN2-,Other
C2N3-,Other
C4H3O-,Other
C4H5O-,Other
C2HSN-,Other
C6H-,Other
C5N-,Other
C2H3O3-,Other
C5H4N5-,Other
C5H3N5O-,Other
C5H4N5O-,Other
C4N3-,Other
C4H2N4-,Other
C4H3N2O2-,Other
C5H5O3-,Other
C5H5N2O2-,Other
P2O6H-,Other
NaP2O6-,Other
C16H29O2-,Other
C16H31O2-,Other
Cl-,Background
SO-,Background
NaCl-,Background
SO2-,Background
SO3-,Background
C2H3SO2-,Background
NaClCl-,Background
SO4H-,Background
NaSO4-,Background
Au-,Background
Au2-,Background
Au3-,Background
In+,Background
In2+,Background
In2O+,Background
In3O+,Background
InO-,Background
InO2-,Background
InO3-,Background
In2O2-,Background
In2O3-,Background
In2O4-,Background
In3O3-,Background
In3O4-,Background
In4O4-,Background
In4O5-,Background
O2-,Background
SiO2-,Background
SiO3-,Background
HSiO3-,Background
