symbol	mass	Valence
H	1.007825032239	1
He	4.002603254136	0
Li	7.016003436645	1
Be	9.01218306582	2
B	11.0093053645	3
C	12.0	4
N	14.003074004432	5
O	15.9949146195717	2
F	18.9984031627392	1
Ne	19.992440176217	0
Na	22.989769282019	1
Mg	23.98504169714	2
Al	26.9815385311	3
Si	27.9769265346544	4
P	30.973761998427	5
S	31.972071174414	6
Cl	34.96885268237	7
Ar	39.962383123724	0
K	38.963706486449	1
Ca	39.96259086322	2
Sc	44.9559082877	3
Ti	47.9479419838	4
V	50.9439570494	5
Cr	51.9405062363	6
Mn	54.9380439148	7
Fe	55.9349363349	7
Co	58.9331942956	5
Ni	57.9353424152	4
Cu	62.9295977256	4
Zn	63.9291420171	2
Ga	68.925573513	3
Ge	73.92117776113	4
As	74.9215945795	5
Se	79.916521813	6
Br	78.918337614	7
Kr	83.911497728244	2
Rb	84.911789737954	1
Sr	87.905612512	2
Y	88.905840324	3
Zr	89.90469772	4
Nb	92.90637302	5
Mo	97.9054048249	6
Ru	101.904344112	8
Rh	102.905498026	7
Pd	105.903480412	5
Ag	106.905091626	3
Cd	113.9033650943	2
In	114.90387877612	3
Sn	119.9022016397	4
Sb	120.90381203	5
Te	129.90622274812	6
I	126.904471939	7
Xe	131.904155085656	8
Cs	132.90545196108	1
Ba	137.9052470031	2
La	138.906356324	3
Ce	139.905443123	4
Pr	140.907657623	5
Nd	141.90772902	4
Sm	151.919739718	3
Eu	152.921238018	3
Gd	157.924112317	3
Tb	158.925354719	4
Dy	163.92918192	4
Ho	164.930328821	3
Er	165.930299522	3
Tm	168.934217922	3
Yb	173.938866422	3
Lu	174.94077522	3
Hf	179.94655702	4
Ta	180.94799582	5
W	183.9509309294	6
Re	186.955750116	7
Os	191.961477029	8
Ir	192.962921621	9
Pt	194.96479171	6
Au	196.9665687971	5
Hg	201.9706434069	2
Tl	204.974427814	3
Pb	207.976652513	4
Bi	208.980399116	5
Th	232.038055821	4
Pa	231.035884224	5
U	238.05078842	6
